Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q08462	ADCY2_HUMAN	reviewed	Adenylate cyclase type 2 (EC 4.6.1.1) (ATP pyrophosphate-lyase 2) (Adenylate cyclase type II) (Adenylyl cyclase 2)	ADCY2 KIAA1060	Homo sapiens (Human)	1091
Q80TL1	ADCY2_MOUSE	reviewed	Adenylate cyclase type 2 (EC 4.6.1.1) (ATP pyrophosphate-lyase 2) (Adenylate cyclase type II) (Adenylyl cyclase 2)	Adcy2 Kiaa1060	Mus musculus (Mouse)	1090
P26769	ADCY2_RAT	reviewed	Adenylate cyclase type 2 (EC 4.6.1.1) (ATP pyrophosphate-lyase 2) (Adenylate cyclase type II) (Adenylyl cyclase 2)	Adcy2	Rattus norvegicus (Rat)	1090
P21932	ADCY3_RAT	reviewed	Adenylate cyclase type 3 (EC 4.6.1.1) (ATP pyrophosphate-lyase 3) (Adenylate cyclase type III) (AC-III) (Adenylate cyclase, olfactive type) (Adenylyl cyclase 3) (AC3)	Adcy3	Rattus norvegicus (Rat)	1144
Q04400	ADCY5_RAT	reviewed	Adenylate cyclase type 5 (EC 4.6.1.1) (ATP pyrophosphate-lyase 5) (Adenylate cyclase type V) (Adenylyl cyclase 5)	Adcy5	Rattus norvegicus (Rat)	1262
Q03343	ADCY6_RAT	reviewed	Adenylate cyclase type 6 (EC 4.6.1.1) (ATP pyrophosphate-lyase 6) (Adenylate cyclase type VI) (ACVI) (Adenylyl cyclase 6) (Ca(2+)-inhibitable adenylyl cyclase)	Adcy6	Rattus norvegicus (Rat)	1166
Q60813	ADM1A_MOUSE	reviewed	Disintegrin and metalloproteinase domain-containing protein 1a (ADAM 1a) (EC 3.4.24.-) (Fertilin subunit alpha-a)	Adam1a Adam1 Ftna	Mus musculus (Mouse)	791
P10608	ADRB2_RAT	reviewed	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	Adrb2 Adrb2r	Rattus norvegicus (Rat)	418
P06685	AT1A1_RAT	reviewed	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 3.6.3.9) (Sodium pump subunit alpha-1)	Atp1a1	Rattus norvegicus (Rat)	1023
Q8VDN2	AT1A1_MOUSE	reviewed	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 3.6.3.9) (Sodium pump subunit alpha-1)	Atp1a1	Mus musculus (Mouse)	1023
P05023	AT1A1_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 3.6.3.9) (Sodium pump subunit alpha-1)	ATP1A1	Homo sapiens (Human)	1023
Q6PIE5	AT1A2_MOUSE	reviewed	Sodium/potassium-transporting ATPase subunit alpha-2 (Na(+)/K(+) ATPase alpha-2 subunit) (EC 3.6.3.9) (Na(+)/K(+) ATPase alpha(+) subunit) (Sodium pump subunit alpha-2)	Atp1a2	Mus musculus (Mouse)	1020
P05026	AT1B1_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	ATP1B1 ATP1B	Homo sapiens (Human)	303
P54709	AT1B3_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3) (ATPB-3) (CD antigen CD298)	ATP1B3	Homo sapiens (Human)	279
P14094	AT1B1_MOUSE	reviewed	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	Atp1b1 Atp4b	Mus musculus (Mouse)	304
P97370	AT1B3_MOUSE	reviewed	Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3) (ATPB-3) (CD antigen CD298)	Atp1b3	Mus musculus (Mouse)	278
P07340	AT1B1_RAT	reviewed	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	Atp1b1	Rattus norvegicus (Rat)	304
P06686	AT1A2_RAT	reviewed	Sodium/potassium-transporting ATPase subunit alpha-2 (Na(+)/K(+) ATPase alpha-2 subunit) (EC 3.6.3.9) (Na(+)/K(+) ATPase alpha(+) subunit) (Sodium pump subunit alpha-2)	Atp1a2	Rattus norvegicus (Rat)	1020
P50993	AT1A2_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit alpha-2 (Na(+)/K(+) ATPase alpha-2 subunit) (EC 3.6.3.9) (Sodium pump subunit alpha-2)	ATP1A2 KIAA0778	Homo sapiens (Human)	1020
Q63377	AT1B3_RAT	reviewed	Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3) (ATPB-3) (CD antigen CD298)	Atp1b3	Rattus norvegicus (Rat)	279
P11505	AT2B1_RAT	reviewed	Plasma membrane calcium-transporting ATPase 1 (PMCA1) (EC 3.6.3.8) (Plasma membrane calcium ATPase isoform 1) (Plasma membrane calcium pump isoform 1)	Atp2b1	Rattus norvegicus (Rat)	1258
Q64568	AT2B3_RAT	reviewed	Plasma membrane calcium-transporting ATPase 3 (PMCA3) (EC 3.6.3.8) (Plasma membrane calcium ATPase isoform 3) (Plasma membrane calcium pump isoform 3)	Atp2b3 Pmca3	Rattus norvegicus (Rat)	1258
P11506	AT2B2_RAT	reviewed	Plasma membrane calcium-transporting ATPase 2 (PMCA2) (EC 3.6.3.8) (Plasma membrane calcium ATPase isoform 2) (Plasma membrane calcium pump isoform 2)	Atp2b2	Rattus norvegicus (Rat)	1243
P26453	BASI_RAT	reviewed	Basigin (Glycoprotein CE9) (OX-47 antigen) (CD antigen CD147)	Bsg	Rattus norvegicus (Rat)	388
P18572	BASI_MOUSE	reviewed	Basigin (Basic immunoglobulin superfamily) (HT7 antigen) (Membrane glycoprotein gp42) (CD antigen CD147)	Bsg	Mus musculus (Mouse)	389
P35613	BASI_HUMAN	reviewed	Basigin (5F7) (Collagenase stimulatory factor) (Extracellular matrix metalloproteinase inducer) (EMMPRIN) (Leukocyte activation antigen M6) (OK blood group antigen) (Tumor cell-derived collagenase stimulatory factor) (TCSF) (CD antigen CD147)	BSG UNQ6505/PRO21383	Homo sapiens (Human)	385
Q13873	BMPR2_HUMAN	reviewed	Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2) (EC 2.7.11.30) (Bone morphogenetic protein receptor type II) (BMP type II receptor) (BMPR-II)	BMPR2 PPH1	Homo sapiens (Human)	1038
P36895	BMR1A_MOUSE	reviewed	Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (BMP-2/BMP-4 receptor) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292)	Bmpr1a Acvrlk3 Bmpr	Mus musculus (Mouse)	532
O35607	BMPR2_MOUSE	reviewed	Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2) (EC 2.7.11.30) (BRK-3) (Bone morphogenetic protein receptor type II) (BMP type II receptor) (BMPR-II)	Bmpr2	Mus musculus (Mouse)	1038
Q78EA7	BMR1A_RAT	reviewed	Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (Bone morphogenetic protein 4 receptor) (CD antigen CD292)	Bmpr1a	Rattus norvegicus (Rat)	532
Q8R2Q8	BST2_MOUSE	reviewed	Bone marrow stromal antigen 2 (BST-2) (HM1.24 antigen) (CD antigen CD317)	Bst2	Mus musculus (Mouse)	172
Q10589	BST2_HUMAN	reviewed	Bone marrow stromal antigen 2 (BST-2) (HM1.24 antigen) (Tetherin) (CD antigen CD317)	BST2	Homo sapiens (Human)	180
Q6WRU0	BST2_CRIGR	reviewed	Bone marrow stromal antigen 2 (BST-2) (Luminal membrane-associated protein GREG) (CD antigen CD317)	Bst2	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	203
Q811A2	BST2_RAT	reviewed	Bone marrow stromal antigen 2 (BST-2) (Protein DAMP-1) (CD antigen CD317)	Bst2 Damp1	Rattus norvegicus (Rat)	172
Q01815	CAC1C_MOUSE	reviewed	Voltage-dependent L-type calcium channel subunit alpha-1C (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle) (MELC-CC) (Mouse brain class C) (MBC) (Voltage-gated calcium channel subunit alpha Cav1.2)	Cacna1c Cach2 Cacn2 Cacnl1a1 Cchl1a1	Mus musculus (Mouse)	2139
O88427	CAC1H_MOUSE	reviewed	Voltage-dependent T-type calcium channel subunit alpha-1H (Voltage-gated calcium channel subunit alpha Cav3.2)	Cacna1h Kiaa1120	Mus musculus (Mouse)	2365
Q13936	CAC1C_HUMAN	reviewed	Voltage-dependent L-type calcium channel subunit alpha-1C (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle) (Voltage-gated calcium channel subunit alpha Cav1.2)	CACNA1C CACH2 CACN2 CACNL1A1 CCHL1A1	Homo sapiens (Human)	2221
O95180	CAC1H_HUMAN	reviewed	Voltage-dependent T-type calcium channel subunit alpha-1H (Low-voltage-activated calcium channel alpha1 3.2 subunit) (Voltage-gated calcium channel subunit alpha Cav3.2)	CACNA1H	Homo sapiens (Human)	2353
P33146	CAD15_MOUSE	reviewed	Cadherin-15 (Cadherin-14) (Muscle cadherin) (M-cadherin)	Cdh15 Cdh14	Mus musculus (Mouse)	784
P55291	CAD15_HUMAN	reviewed	Cadherin-15 (Cadherin-14) (Muscle cadherin) (M-cadherin)	CDH15 CDH14 CDH3	Homo sapiens (Human)	814
P04817	CAN1_YEAST	reviewed	Arginine permease	CAN1 YEL063C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	590
Q15762	CD226_HUMAN	reviewed	CD226 antigen (DNAX accessory molecule 1) (DNAM-1) (CD antigen CD226)	CD226 DNAM1	Homo sapiens (Human)	336
P31042	CD28_RAT	reviewed	T-cell-specific surface glycoprotein CD28 (CD antigen CD28)	Cd28	Rattus norvegicus (Rat)	218
P08921	CD2_RAT	reviewed	T-cell surface antigen CD2 (LFA-2) (LFA-3 receptor) (OX-34 antigen) (T-cell surface antigen T11/Leu-5) (CD antigen CD2)	Cd2	Rattus norvegicus (Rat)	344
P16671	CD36_HUMAN	reviewed	Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36)	CD36 GP3B GP4	Homo sapiens (Human)	472
Q07969	CD36_RAT	reviewed	Platelet glycoprotein 4 (Adipocyte membrane protein) (Fatty acid translocase) (Fatty acid transport protein) (Glycoprotein IIIb) (GPIIIB) (PAS IV) (PAS-4) (Platelet glycoprotein IV) (GPIV) (CD antigen CD36)	Cd36 Fat	Rattus norvegicus (Rat)	472
Q08857	CD36_MOUSE	reviewed	Platelet glycoprotein 4 (Glycoprotein IIIb) (GPIIIB) (PAS IV) (PAS-4) (Platelet glycoprotein IV) (GPIV) (CD antigen CD36)	Cd36	Mus musculus (Mouse)	472
P06332	CD4_MOUSE	reviewed	T-cell surface glycoprotein CD4 (T-cell differentiation antigen L3T4) (T-cell surface antigen T4/Leu-3) (CD antigen CD4)	Cd4	Mus musculus (Mouse)	457
P05540	CD4_RAT	reviewed	T-cell surface glycoprotein CD4 (T-cell surface antigen T4/Leu-3) (W3/25 antigen) (CD antigen CD4)	Cd4	Rattus norvegicus (Rat)	457
P01730	CD4_HUMAN	reviewed	T-cell surface glycoprotein CD4 (T-cell surface antigen T4/Leu-3) (CD antigen CD4)	CD4	Homo sapiens (Human)	458
P40293	CD79A_BOVIN	reviewed	B-cell antigen receptor complex-associated protein alpha chain (Ig-alpha) (MB-1 membrane glycoprotein) (Membrane-bound immunoglobulin-associated protein) (Surface IgM-associated protein) (CD antigen CD79a)	CD79A IGA MB-1	Bos taurus (Bovine)	223
P11911	CD79A_MOUSE	reviewed	B-cell antigen receptor complex-associated protein alpha chain (Ig-alpha) (MB-1 membrane glycoprotein) (Membrane-bound immunoglobulin-associated protein) (Surface IgM-associated protein) (CD antigen CD79a)	Cd79a Iga Mb-1	Mus musculus (Mouse)	220
P0CAN6	CD79A_CANFA	reviewed	B-cell antigen receptor complex-associated protein alpha chain (Ig-alpha) (CD antigen CD79a)	CD79A	Canis familiaris (Dog) (Canis lupus familiaris)	236
P11912	CD79A_HUMAN	reviewed	B-cell antigen receptor complex-associated protein alpha chain (Ig-alpha) (MB-1 membrane glycoprotein) (Membrane-bound immunoglobulin-associated protein) (Surface IgM-associated protein) (CD antigen CD79a)	CD79A IGA MB1	Homo sapiens (Human)	226
P78595	CDR2_CANAL	reviewed	Multidrug resistance protein CDR2	CDR2 CaO19.13379 CaO19.5958	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	1499
Q29611	CLN3_CANFA	reviewed	Battenin (Protein CLN3)	CLN3	Canis familiaris (Dog) (Canis lupus familiaris)	438
Q60HH0	CLN3_MACFA	reviewed	Battenin (Protein CLN3)	CLN3 QccE-16380	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	438
Q61124	CLN3_MOUSE	reviewed	Battenin (Protein CLN3)	Cln3	Mus musculus (Mouse)	438
Q13286	CLN3_HUMAN	reviewed	Battenin (Batten disease protein) (Protein CLN3)	CLN3 BTS	Homo sapiens (Human)	438
Q494W8	CRFM7_HUMAN	reviewed	CHRNA7-FAM7A fusion protein (CHRNA7-DR1) (D-10)	CHRFAM7A	Homo sapiens (Human)	412
P08050	CXA1_RAT	reviewed	Gap junction alpha-1 protein (Connexin-43) (Cx43) (Gap junction 43 kDa heart protein)	Gja1 Cxn-43	Rattus norvegicus (Rat)	382
P29414	CXA3_RAT	reviewed	Gap junction alpha-3 protein (Connexin-46) (Cx46)	Gja3 Cxn-46	Rattus norvegicus (Rat)	416
P23242	CXA1_MOUSE	reviewed	Gap junction alpha-1 protein (Connexin-43) (Cx43) (Gap junction 43 kDa heart protein)	Gja1 Cxn-43	Mus musculus (Mouse)	382
P17302	CXA1_HUMAN	reviewed	Gap junction alpha-1 protein (Connexin-43) (Cx43) (Gap junction 43 kDa heart protein)	GJA1 GJAL	Homo sapiens (Human)	382
P78310	CXAR_HUMAN	reviewed	Coxsackievirus and adenovirus receptor (CAR) (hCAR) (CVB3-binding protein) (Coxsackievirus B-adenovirus receptor) (HCVADR)	CXADR CAR	Homo sapiens (Human)	365
P97792	CXAR_MOUSE	reviewed	Coxsackievirus and adenovirus receptor homolog (CAR) (mCAR)	Cxadr Car	Mus musculus (Mouse)	365
Q9R066	CXAR_RAT	reviewed	Coxsackievirus and adenovirus receptor homolog (CAR) (rCAR)	Cxadr Car	Rattus norvegicus (Rat)	365
Q8WMV3	CXAR_BOVIN	reviewed	Coxsackievirus and adenovirus receptor homolog (Coxsackie virus and adenovirus receptor) (BCAR)	CXADR CAR	Bos taurus (Bovine)	365
Q5R764	CXAR_PONAB	reviewed	Coxsackievirus and adenovirus receptor homolog (CAR)	CXADR CAR	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	365
Q9TSZ6	DAG1_CANFA	reviewed	Dystroglycan (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan (Alpha-DG); Beta-dystroglycan (Beta-DG)]	DAG1	Canis familiaris (Dog) (Canis lupus familiaris)	892
Q28685	DAG1_RABIT	reviewed	Dystroglycan (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan (Alpha-DG); Beta-dystroglycan (Beta-DG)]	DAG1	Oryctolagus cuniculus (Rabbit)	895
Q14118	DAG1_HUMAN	reviewed	Dystroglycan (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan (Alpha-DG); Beta-dystroglycan (Beta-DG)]	DAG1	Homo sapiens (Human)	895
Q62165	DAG1_MOUSE	reviewed	Dystroglycan (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan (Alpha-DG); Beta-dystroglycan (Beta-DG)]	Dag1 Dag-1	Mus musculus (Mouse)	893
P70211	DCC_MOUSE	reviewed	Netrin receptor DCC (Tumor suppressor protein DCC)	Dcc	Mus musculus (Mouse)	1447
Q63155	DCC_RAT	reviewed	Netrin receptor DCC (Tumor suppressor protein DCC)	Dcc	Rattus norvegicus (Rat)	1445
P43146	DCC_HUMAN	reviewed	Netrin receptor DCC (Colorectal cancer suppressor) (Immunoglobulin superfamily DCC subclass member 1) (Tumor suppressor protein DCC)	DCC IGDCC1	Homo sapiens (Human)	1447
P28843	DPP4_MOUSE	reviewed	Dipeptidyl peptidase 4 (EC 3.4.14.5) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (Thymocyte-activating molecule) (THAM) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)]	Dpp4 Cd26	Mus musculus (Mouse)	760
Q9N2I7	DPP4_FELCA	reviewed	Dipeptidyl peptidase 4 (EC 3.4.14.5) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)]	DPP4 CD26	Felis catus (Cat) (Felis silvestris catus)	765
P22411	DPP4_PIG	reviewed	Dipeptidyl peptidase 4 (EC 3.4.14.5) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)]	DPP4 CD26	Sus scrofa (Pig)	766
P81425	DPP4_BOVIN	reviewed	Dipeptidyl peptidase 4 (EC 3.4.14.5) (Activation molecule 3) (ACT3) (Adenosine deaminase complexing protein) (ADCP-I) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (WC10) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)]	DPP4 CD26	Bos taurus (Bovine)	765
P14740	DPP4_RAT	reviewed	Dipeptidyl peptidase 4 (EC 3.4.14.5) (Bile canaliculus domain-specific membrane glycoprotein) (Dipeptidyl peptidase IV) (DPP IV) (GP110 glycoprotein) (T-cell activation antigen CD26) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form); Dipeptidyl peptidase 4 60 kDa soluble form (Dipeptidyl peptidase IV 60 kDa soluble form)]	Dpp4 Cd26	Rattus norvegicus (Rat)	767
P27487	DPP4_HUMAN	reviewed	Dipeptidyl peptidase 4 (EC 3.4.14.5) (ADABP) (Adenosine deaminase complexing protein 2) (ADCP-2) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (TP103) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)]	DPP4 ADCP2 CD26	Homo sapiens (Human)	766
P18901	DRD1_RAT	reviewed	D(1A) dopamine receptor (Dopamine D1 receptor)	Drd1 Drd1a	Rattus norvegicus (Rat)	446
P48302	EDNRB_MOUSE	reviewed	Endothelin B receptor (ET-B) (ET-BR) (Endothelin receptor non-selective type)	Ednrb	Mus musculus (Mouse)	442
P21451	EDNRB_RAT	reviewed	Endothelin B receptor (ET-B) (ET-BR) (Endothelin receptor non-selective type)	Ednrb	Rattus norvegicus (Rat)	442
P24530	EDNRB_HUMAN	reviewed	Endothelin B receptor (ET-B) (ET-BR) (Endothelin receptor non-selective type)	EDNRB ETRB	Homo sapiens (Human)	442
P98172	EFNB1_HUMAN	reviewed	Ephrin-B1 (EFL-3) (ELK ligand) (ELK-L) (EPH-related receptor tyrosine kinase ligand 2) (LERK-2)	EFNB1 EFL3 EPLG2 LERK2	Homo sapiens (Human)	346
P52795	EFNB1_MOUSE	reviewed	Ephrin-B1 (CEK5 receptor ligand) (CEK5-L) (ELK ligand) (ELK-L) (EPH-related receptor tyrosine kinase ligand 2) (LERK-2) (Stimulated by retinoic acid gene 1 protein)	Efnb1 Epl2 Eplg2 Lerk2 Stra1	Mus musculus (Mouse)	345
P00533	EGFR_HUMAN	reviewed	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)	EGFR ERBB ERBB1 HER1	Homo sapiens (Human)	1210
Q01279	EGFR_MOUSE	reviewed	Epidermal growth factor receptor (EC 2.7.10.1)	Egfr	Mus musculus (Mouse)	1210
P55245	EGFR_MACMU	reviewed	Epidermal growth factor receptor (EC 2.7.10.1)	EGFR	Macaca mulatta (Rhesus macaque)	1210
P09759	EPHB1_RAT	reviewed	Ephrin type-B receptor 1 (EC 2.7.10.1) (ELK) (Tyrosine-protein kinase receptor EPH-2)	Ephb1 Elk Epth2	Rattus norvegicus (Rat)	984
P54762	EPHB1_HUMAN	reviewed	Ephrin type-B receptor 1 (EC 2.7.10.1) (ELK) (EPH tyrosine kinase 2) (EPH-like kinase 6) (EK6) (hEK6) (Neuronally-expressed EPH-related tyrosine kinase) (NET) (Tyrosine-protein kinase receptor EPH-2)	EPHB1 ELK EPHT2 HEK6 NET	Homo sapiens (Human)	984
Q8CBF3	EPHB1_MOUSE	reviewed	Ephrin type-B receptor 1 (EC 2.7.10.1)	Ephb1	Mus musculus (Mouse)	984
P06494	ERBB2_RAT	reviewed	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Epidermal growth factor receptor-related protein) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (p185erbB2) (p185neu) (CD antigen CD340)	Erbb2 Neu	Rattus norvegicus (Rat)	1257
Q62956	ERBB4_RAT	reviewed	Receptor tyrosine-protein kinase erbB-4 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-4) [Cleaved into: ERBB4 intracellular domain (4ICD) (E4ICD) (s80HER4)]	Erbb4 Tyro-2	Rattus norvegicus (Rat)	1308
Q01362	FCERB_HUMAN	reviewed	High affinity immunoglobulin epsilon receptor subunit beta (FcERI) (Fc epsilon receptor I beta-chain) (IgE Fc receptor subunit beta) (Membrane-spanning 4-domains subfamily A member 2)	MS4A2 APY FCER1B IGER	Homo sapiens (Human)	244
P20491	FCERG_MOUSE	reviewed	High affinity immunoglobulin epsilon receptor subunit gamma (Fc receptor gamma-chain) (FcRgamma) (Fc-epsilon RI-gamma) (IgE Fc receptor subunit gamma) (FceRI gamma)	Fcer1g Fce1g	Mus musculus (Mouse)	86
P20490	FCERB_MOUSE	reviewed	High affinity immunoglobulin epsilon receptor subunit beta (FcERI) (Fc epsilon receptor I beta-chain) (IgE Fc receptor subunit beta) (Membrane-spanning 4-domains subfamily A member 2)	Ms4a2 Fce1b Fcer1b Ms4a1	Mus musculus (Mouse)	235
P13386	FCERB_RAT	reviewed	High affinity immunoglobulin epsilon receptor subunit beta (FcERI) (Fc epsilon receptor I beta-chain) (IgE Fc receptor subunit beta) (Membrane-spanning 4-domains subfamily A member 2)	Ms4a2 Fce1b Fcer1b	Rattus norvegicus (Rat)	243
P20489	FCERA_MOUSE	reviewed	High affinity immunoglobulin epsilon receptor subunit alpha (Fc-epsilon RI-alpha) (FcERI) (IgE Fc receptor subunit alpha)	Fcer1a Fce1a	Mus musculus (Mouse)	250
Q10279	FUR4_SCHPO	reviewed	Uracil permease	fur4 SPAC1399.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	581
