Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P50129	5HT2A_PIG	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (5-HT2A) (Serotonin receptor 2A)	HTR2A	Sus scrofa (Pig)	470
O95477	ABCA1_HUMAN	reviewed	ATP-binding cassette sub-family A member 1 (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein)	ABCA1 ABC1 CERP	Homo sapiens (Human)	2261
P41233	ABCA1_MOUSE	reviewed	ATP-binding cassette sub-family A member 1 (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1)	Abca1 Abc1	Mus musculus (Mouse)	2261
Q9BYF1	ACE2_HUMAN	reviewed	Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) (Angiotensin-converting enzyme homolog) (ACEH) (Metalloprotease MPROT15) [Cleaved into: Processed angiotensin-converting enzyme 2]	ACE2 UNQ868/PRO1885	Homo sapiens (Human)	805
P49582	ACHA7_MOUSE	reviewed	Neuronal acetylcholine receptor subunit alpha-7	Chrna7 Acra7	Mus musculus (Mouse)	502
Q05941	ACHA7_RAT	reviewed	Neuronal acetylcholine receptor subunit alpha-7	Chrna7 Acra7	Rattus norvegicus (Rat)	502
Q9Z0F8	ADA17_MOUSE	reviewed	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)	Adam17 Tace	Mus musculus (Mouse)	827
P78536	ADA17_HUMAN	reviewed	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (Snake venom-like protease) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)	ADAM17 CSVP TACE	Homo sapiens (Human)	824
Q08462	ADCY2_HUMAN	reviewed	Adenylate cyclase type 2 (EC 4.6.1.1) (ATP pyrophosphate-lyase 2) (Adenylate cyclase type II) (Adenylyl cyclase 2)	ADCY2 KIAA1060	Homo sapiens (Human)	1091
Q80TL1	ADCY2_MOUSE	reviewed	Adenylate cyclase type 2 (EC 4.6.1.1) (ATP pyrophosphate-lyase 2) (Adenylate cyclase type II) (Adenylyl cyclase 2)	Adcy2 Kiaa1060	Mus musculus (Mouse)	1090
P26769	ADCY2_RAT	reviewed	Adenylate cyclase type 2 (EC 4.6.1.1) (ATP pyrophosphate-lyase 2) (Adenylate cyclase type II) (Adenylyl cyclase 2)	Adcy2	Rattus norvegicus (Rat)	1090
P21932	ADCY3_RAT	reviewed	Adenylate cyclase type 3 (EC 4.6.1.1) (ATP pyrophosphate-lyase 3) (Adenylate cyclase type III) (AC-III) (Adenylate cyclase, olfactive type) (Adenylyl cyclase 3) (AC3)	Adcy3	Rattus norvegicus (Rat)	1144
Q04400	ADCY5_RAT	reviewed	Adenylate cyclase type 5 (EC 4.6.1.1) (ATP pyrophosphate-lyase 5) (Adenylate cyclase type V) (Adenylyl cyclase 5)	Adcy5	Rattus norvegicus (Rat)	1262
Q03343	ADCY6_RAT	reviewed	Adenylate cyclase type 6 (EC 4.6.1.1) (ATP pyrophosphate-lyase 6) (Adenylate cyclase type VI) (ACVI) (Adenylyl cyclase 6) (Ca(2+)-inhibitable adenylyl cyclase)	Adcy6	Rattus norvegicus (Rat)	1166
Q60813	ADM1A_MOUSE	reviewed	Disintegrin and metalloproteinase domain-containing protein 1a (ADAM 1a) (EC 3.4.24.-) (Fertilin subunit alpha-a)	Adam1a Adam1 Ftna	Mus musculus (Mouse)	791
P10608	ADRB2_RAT	reviewed	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	Adrb2 Adrb2r	Rattus norvegicus (Rat)	418
Q6CVT9	AIM3_KLULA	reviewed	Altered inheritance of mitochondria protein 3	AIM3 KLLA0B09460g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	859
C5DL76	AIM3_LACTC	reviewed	Altered inheritance of mitochondria protein 3	AIM3 KLTH0F10648g	Lachancea thermotolerans (strain ATCC 56472 / CBS 6340 / NRRL Y-8284) (Yeast) (Kluyveromyces thermotolerans)	842
Q6FWB5	AIM3A_CANGA	reviewed	Altered inheritance of mitochondria protein 3-1	AIM3-1 CAGL0D01474g	Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65) (Yeast) (Torulopsis glabrata)	661
B3LN45	AIM3_YEAS1	reviewed	Altered inheritance of mitochondria protein 3	AIM3 SCRG_02858	Saccharomyces cerevisiae (strain RM11-1a) (Baker's yeast)	936
Q6FLZ3	AIM3B_CANGA	reviewed	Altered inheritance of mitochondria protein 3-2	AIM3-2 CAGL0K12320g	Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65) (Yeast) (Torulopsis glabrata)	785
D3UEK1	AIM3_YEAS8	reviewed	Altered inheritance of mitochondria protein 3	AIM3 EC1118_1B15_2542g	Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) (Baker's yeast)	946
P38266	AIM3_YEAST	reviewed	Altered inheritance of mitochondria protein 3	AIM3 YBR108W YBR0901	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	947
Q6BMF7	AIM3_DEBHA	reviewed	Altered inheritance of mitochondria protein 3	AIM3 DEHA2F05808g	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	927
A7TRW3	AIM3_VANPO	reviewed	Altered inheritance of mitochondria protein 3	AIM3 Kpol_376p13	Vanderwaltozyma polyspora (strain ATCC 22028 / DSM 70294) (Kluyveromyces polysporus)	915
A6ZL53	AIM3_YEAS7	reviewed	Altered inheritance of mitochondria protein 3	AIM3 SCY_0323	Saccharomyces cerevisiae (strain YJM789) (Baker's yeast)	944
C5DUF5	AIM3_ZYGRC	reviewed	Altered inheritance of mitochondria protein 3	AIM3 ZYRO0C16324g	Zygosaccharomyces rouxii (strain ATCC 2623 / CBS 732 / NBRC 1130 / NCYC 568 / NRRL Y-229) (Candida mogii)	590
C7GUK6	AIM3_YEAS2	reviewed	Altered inheritance of mitochondria protein 3	AIM3 C1Q_04126	Saccharomyces cerevisiae (strain JAY291) (Baker's yeast)	947
Q13023	AKAP6_HUMAN	reviewed	A-kinase anchor protein 6 (AKAP-6) (A-kinase anchor protein 100 kDa) (AKAP 100) (Protein kinase A-anchoring protein 6) (PRKA6) (mAKAP)	AKAP6 AKAP100 KIAA0311	Homo sapiens (Human)	2319
Q9WVC7	AKAP6_RAT	reviewed	A-kinase anchor protein 6 (AKAP-6) (Protein kinase A-anchoring protein 6) (PRKA6) (mAKAP)	Akap6	Rattus norvegicus (Rat)	2314
Q9Z213	ALEX_RAT	reviewed	Protein ALEX (Alternative gene product encoded by XL-exon)	Gnas Gnas1	Rattus norvegicus (Rat)	738
Q15389	ANGP1_HUMAN	reviewed	Angiopoietin-1 (ANG-1)	ANGPT1 KIAA0003	Homo sapiens (Human)	498
O08538	ANGP1_MOUSE	reviewed	Angiopoietin-1 (ANG-1)	Angpt1 Agpt	Mus musculus (Mouse)	498
Q01484	ANK2_HUMAN	reviewed	Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin) (Non-erythroid ankyrin)	ANK2	Homo sapiens (Human)	3957
Q8C8R3	ANK2_MOUSE	reviewed	Ankyrin-2 (ANK-2) (Brain ankyrin)	Ank2	Mus musculus (Mouse)	3898
P27216	ANX13_HUMAN	reviewed	Annexin A13 (Annexin XIII) (Annexin-13) (Intestine-specific annexin) (ISA)	ANXA13 ANX13	Homo sapiens (Human)	316
Q29471	ANX13_CANFA	reviewed	Annexin A13 (Annexin XIII) (Annexin-13) (Intestine-specific annexin) (ISA)	ANXA13 ANX13	Canis familiaris (Dog) (Canis lupus familiaris)	316
P26817	ARBK1_RAT	reviewed	Beta-adrenergic receptor kinase 1 (Beta-ARK-1) (EC 2.7.11.15) (G-protein-coupled receptor kinase 2)	Adrbk1 Grk2	Rattus norvegicus (Rat)	689
Q99856	ARI3A_HUMAN	reviewed	AT-rich interactive domain-containing protein 3A (ARID domain-containing protein 3A) (B-cell regulator of IgH transcription) (Bright) (Dead ringer-like protein 1) (E2F-binding protein 1)	ARID3A DRIL1 DRIL3 DRX E2FBP1	Homo sapiens (Human)	593
A6NKF2	ARI3C_HUMAN	reviewed	AT-rich interactive domain-containing protein 3C (ARID domain-containing protein 3C)	ARID3C	Homo sapiens (Human)	412
A6PWV5	ARI3C_MOUSE	reviewed	AT-rich interactive domain-containing protein 3C (ARID domain-containing protein 3C)	Arid3c	Mus musculus (Mouse)	409
Q62431	ARI3A_MOUSE	reviewed	AT-rich interactive domain-containing protein 3A (ARID domain-containing protein 3A) (B-cell regulator of IgH transcription) (Bright) (Dead ringer-like protein 1)	Arid3a Dri1 Dril1	Mus musculus (Mouse)	601
P35183	AST1_YEAST	reviewed	Protein AST1	AST1 YBL069W YBL06.04 YBL0617	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	429
P06685	AT1A1_RAT	reviewed	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 3.6.3.9) (Sodium pump subunit alpha-1)	Atp1a1	Rattus norvegicus (Rat)	1023
Q8VDN2	AT1A1_MOUSE	reviewed	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 3.6.3.9) (Sodium pump subunit alpha-1)	Atp1a1	Mus musculus (Mouse)	1023
P05023	AT1A1_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 3.6.3.9) (Sodium pump subunit alpha-1)	ATP1A1	Homo sapiens (Human)	1023
Q6PIE5	AT1A2_MOUSE	reviewed	Sodium/potassium-transporting ATPase subunit alpha-2 (Na(+)/K(+) ATPase alpha-2 subunit) (EC 3.6.3.9) (Na(+)/K(+) ATPase alpha(+) subunit) (Sodium pump subunit alpha-2)	Atp1a2	Mus musculus (Mouse)	1020
P05026	AT1B1_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	ATP1B1 ATP1B	Homo sapiens (Human)	303
P54709	AT1B3_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3) (ATPB-3) (CD antigen CD298)	ATP1B3	Homo sapiens (Human)	279
P14094	AT1B1_MOUSE	reviewed	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	Atp1b1 Atp4b	Mus musculus (Mouse)	304
P97370	AT1B3_MOUSE	reviewed	Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3) (ATPB-3) (CD antigen CD298)	Atp1b3	Mus musculus (Mouse)	278
P07340	AT1B1_RAT	reviewed	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	Atp1b1	Rattus norvegicus (Rat)	304
P06686	AT1A2_RAT	reviewed	Sodium/potassium-transporting ATPase subunit alpha-2 (Na(+)/K(+) ATPase alpha-2 subunit) (EC 3.6.3.9) (Na(+)/K(+) ATPase alpha(+) subunit) (Sodium pump subunit alpha-2)	Atp1a2	Rattus norvegicus (Rat)	1020
P50993	AT1A2_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit alpha-2 (Na(+)/K(+) ATPase alpha-2 subunit) (EC 3.6.3.9) (Sodium pump subunit alpha-2)	ATP1A2 KIAA0778	Homo sapiens (Human)	1020
Q63377	AT1B3_RAT	reviewed	Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3) (ATPB-3) (CD antigen CD298)	Atp1b3	Rattus norvegicus (Rat)	279
P11505	AT2B1_RAT	reviewed	Plasma membrane calcium-transporting ATPase 1 (PMCA1) (EC 3.6.3.8) (Plasma membrane calcium ATPase isoform 1) (Plasma membrane calcium pump isoform 1)	Atp2b1	Rattus norvegicus (Rat)	1258
Q64568	AT2B3_RAT	reviewed	Plasma membrane calcium-transporting ATPase 3 (PMCA3) (EC 3.6.3.8) (Plasma membrane calcium ATPase isoform 3) (Plasma membrane calcium pump isoform 3)	Atp2b3 Pmca3	Rattus norvegicus (Rat)	1258
P11506	AT2B2_RAT	reviewed	Plasma membrane calcium-transporting ATPase 2 (PMCA2) (EC 3.6.3.8) (Plasma membrane calcium ATPase isoform 2) (Plasma membrane calcium pump isoform 2)	Atp2b2	Rattus norvegicus (Rat)	1243
P26453	BASI_RAT	reviewed	Basigin (Glycoprotein CE9) (OX-47 antigen) (CD antigen CD147)	Bsg	Rattus norvegicus (Rat)	388
P18572	BASI_MOUSE	reviewed	Basigin (Basic immunoglobulin superfamily) (HT7 antigen) (Membrane glycoprotein gp42) (CD antigen CD147)	Bsg	Mus musculus (Mouse)	389
P35613	BASI_HUMAN	reviewed	Basigin (5F7) (Collagenase stimulatory factor) (Extracellular matrix metalloproteinase inducer) (EMMPRIN) (Leukocyte activation antigen M6) (OK blood group antigen) (Tumor cell-derived collagenase stimulatory factor) (TCSF) (CD antigen CD147)	BSG UNQ6505/PRO21383	Homo sapiens (Human)	385
Q9Z0H7	BCL10_MOUSE	reviewed	B-cell lymphoma/leukemia 10 (B-cell CLL/lymphoma 10) (Bcl-10) (CARD-containing molecule enhancing NF-kappa-B) (CARD-like apoptotic protein) (mCLAP) (CED-3/ICH-1 prodomain homologous E10-like regulator) (mCIPER) (Cellular homolog of vCARMEN) (cCARMEN) (Cellular-E10) (c-E10) (Mammalian CARD-containing adapter molecule E10) (mE10)	Bcl10 Ciper Clap	Mus musculus (Mouse)	233
Q9QYN5	BCL10_RAT	reviewed	B-cell lymphoma/leukemia 10 (B-cell CLL/lymphoma 10) (Bcl-10) (R-RCD1) (RCD)	Bcl10	Rattus norvegicus (Rat)	233
O95999	BCL10_HUMAN	reviewed	B-cell lymphoma/leukemia 10 (B-cell CLL/lymphoma 10) (Bcl-10) (CARD-containing molecule enhancing NF-kappa-B) (CARD-like apoptotic protein) (hCLAP) (CED-3/ICH-1 prodomain homologous E10-like regulator) (CIPER) (Cellular homolog of vCARMEN) (cCARMEN) (Cellular-E10) (c-E10) (Mammalian CARD-containing adapter molecule E10) (mE10)	BCL10 CIPER CLAP	Homo sapiens (Human)	233
Q62210	BIRC2_MOUSE	reviewed	Baculoviral IAP repeat-containing protein 2 (EC 6.3.2.-) (Inhibitor of apoptosis protein 2) (IAP-2) (mIAP-2) (mIAP2)	Birc2 Birc3 Iap2	Mus musculus (Mouse)	612
O08863	BIRC3_MOUSE	reviewed	Baculoviral IAP repeat-containing protein 3 (EC 6.3.2.-) (Inhibitor of apoptosis protein 1) (IAP-1) (mIAP-1) (mIAP1)	Birc3 Birc2 Iap1	Mus musculus (Mouse)	600
Q13489	BIRC3_HUMAN	reviewed	Baculoviral IAP repeat-containing protein 3 (EC 6.3.2.-) (Apoptosis inhibitor 2) (API2) (C-IAP2) (IAP homolog C) (Inhibitor of apoptosis protein 1) (IAP-1) (hIAP-1) (hIAP1) (RING finger protein 49) (TNFR2-TRAF-signaling complex protein 1)	BIRC3 API2 IAP1 MIHC RNF49	Homo sapiens (Human)	604
Q13490	BIRC2_HUMAN	reviewed	Baculoviral IAP repeat-containing protein 2 (EC 6.3.2.-) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (IAP-2) (hIAP-2) (hIAP2) (RING finger protein 48) (TNFR2-TRAF-signaling complex protein 2)	BIRC2 API1 IAP2 MIHB RNF48	Homo sapiens (Human)	618
Q13873	BMPR2_HUMAN	reviewed	Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2) (EC 2.7.11.30) (Bone morphogenetic protein receptor type II) (BMP type II receptor) (BMPR-II)	BMPR2 PPH1	Homo sapiens (Human)	1038
P36895	BMR1A_MOUSE	reviewed	Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (BMP-2/BMP-4 receptor) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292)	Bmpr1a Acvrlk3 Bmpr	Mus musculus (Mouse)	532
O35607	BMPR2_MOUSE	reviewed	Bone morphogenetic protein receptor type-2 (BMP type-2 receptor) (BMPR-2) (EC 2.7.11.30) (BRK-3) (Bone morphogenetic protein receptor type II) (BMP type II receptor) (BMPR-II)	Bmpr2	Mus musculus (Mouse)	1038
Q78EA7	BMR1A_RAT	reviewed	Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (Bone morphogenetic protein 4 receptor) (CD antigen CD292)	Bmpr1a	Rattus norvegicus (Rat)	532
Q8R2Q8	BST2_MOUSE	reviewed	Bone marrow stromal antigen 2 (BST-2) (HM1.24 antigen) (CD antigen CD317)	Bst2	Mus musculus (Mouse)	172
Q10589	BST2_HUMAN	reviewed	Bone marrow stromal antigen 2 (BST-2) (HM1.24 antigen) (Tetherin) (CD antigen CD317)	BST2	Homo sapiens (Human)	180
Q6WRU0	BST2_CRIGR	reviewed	Bone marrow stromal antigen 2 (BST-2) (Luminal membrane-associated protein GREG) (CD antigen CD317)	Bst2	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	203
Q811A2	BST2_RAT	reviewed	Bone marrow stromal antigen 2 (BST-2) (Protein DAMP-1) (CD antigen CD317)	Bst2 Damp1	Rattus norvegicus (Rat)	172
Q06187	BTK_HUMAN	reviewed	Tyrosine-protein kinase BTK (EC 2.7.10.2) (Agammaglobulinemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase)	BTK AGMX1 ATK BPK	Homo sapiens (Human)	659
P35991	BTK_MOUSE	reviewed	Tyrosine-protein kinase BTK (EC 2.7.10.2) (Agammaglobulinemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase) (Kinase EMB)	Btk Bpk	Mus musculus (Mouse)	659
Q01815	CAC1C_MOUSE	reviewed	Voltage-dependent L-type calcium channel subunit alpha-1C (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle) (MELC-CC) (Mouse brain class C) (MBC) (Voltage-gated calcium channel subunit alpha Cav1.2)	Cacna1c Cach2 Cacn2 Cacnl1a1 Cchl1a1	Mus musculus (Mouse)	2139
O88427	CAC1H_MOUSE	reviewed	Voltage-dependent T-type calcium channel subunit alpha-1H (Voltage-gated calcium channel subunit alpha Cav3.2)	Cacna1h Kiaa1120	Mus musculus (Mouse)	2365
Q13936	CAC1C_HUMAN	reviewed	Voltage-dependent L-type calcium channel subunit alpha-1C (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle) (Voltage-gated calcium channel subunit alpha Cav1.2)	CACNA1C CACH2 CACN2 CACNL1A1 CCHL1A1	Homo sapiens (Human)	2221
O95180	CAC1H_HUMAN	reviewed	Voltage-dependent T-type calcium channel subunit alpha-1H (Low-voltage-activated calcium channel alpha1 3.2 subunit) (Voltage-gated calcium channel subunit alpha Cav3.2)	CACNA1H	Homo sapiens (Human)	2353
P33146	CAD15_MOUSE	reviewed	Cadherin-15 (Cadherin-14) (Muscle cadherin) (M-cadherin)	Cdh15 Cdh14	Mus musculus (Mouse)	784
P55291	CAD15_HUMAN	reviewed	Cadherin-15 (Cadherin-14) (Muscle cadherin) (M-cadherin)	CDH15 CDH14 CDH3	Homo sapiens (Human)	814
Q9WTR5	CAD13_MOUSE	reviewed	Cadherin-13 (Heart cadherin) (H-cadherin) (Truncated cadherin) (T-cad) (T-cadherin)	Cdh13	Mus musculus (Mouse)	714
P55290	CAD13_HUMAN	reviewed	Cadherin-13 (Heart cadherin) (H-cadherin) (P105) (Truncated cadherin) (T-cad) (T-cadherin)	CDH13 CDHH	Homo sapiens (Human)	713
P04817	CAN1_YEAST	reviewed	Arginine permease	CAN1 YEL063C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	590
Q8CIS0	CAR11_MOUSE	reviewed	Caspase recruitment domain-containing protein 11	Card11	Mus musculus (Mouse)	1159
Q9BXL7	CAR11_HUMAN	reviewed	Caspase recruitment domain-containing protein 11 (CARD-containing MAGUK protein 1) (Carma 1)	CARD11 CARMA1	Homo sapiens (Human)	1154
Q14790	CASP8_HUMAN	reviewed	Caspase-8 (CASP-8) (EC 3.4.22.61) (Apoptotic cysteine protease) (Apoptotic protease Mch-5) (CAP4) (FADD-homologous ICE/ced-3-like protease) (FADD-like ICE) (FLICE) (ICE-like apoptotic protease 5) (MORT1-associated ced-3 homolog) (MACH) [Cleaved into: Caspase-8 subunit p18; Caspase-8 subunit p10]	CASP8 MCH5	Homo sapiens (Human)	479
O89110	CASP8_MOUSE	reviewed	Caspase-8 (CASP-8) (EC 3.4.22.61) [Cleaved into: Caspase-8 subunit p18; Caspase-8 subunit p10]	Casp8	Mus musculus (Mouse)	480
Q07DV9	CAV1_AOTNA	reviewed	Caveolin-1	CAV1	Aotus nancymaae (Ma's night monkey)	178
Q00PJ9	CAV1_ATEAB	reviewed	Caveolin-1	CAV1	Atelerix albiventris (Middle-African hedgehog) (Four-toed hedgehog)	178
Q2QLC1	CAV1_CALMO	reviewed	Caveolin-1	CAV1	Callicebus moloch (Dusky titi monkey)	178
Q94051	CAV1_CAEEL	reviewed	Caveolin-1	cav-1 T13F2.8	Caenorhabditis elegans	235
P35431	CAV1_CHICK	reviewed	Caveolin-1	CAV1	Gallus gallus (Chicken)	178
Q2QL79	CAV1_DIDVI	reviewed	Caveolin-1	CAV1	Didelphis virginiana (North American opossum) (Didelphis marsupialis virginiana)	178
Q07DZ2	CAV1_COLGU	reviewed	Caveolin-1	CAV1	Colobus guereza (Mantled guereza) (Eastern black-and-white colobus monkey)	178
Q07E49	CAV1_DASNO	reviewed	Caveolin-1	CAV1	Dasypus novemcinctus (Nine-banded armadillo)	178
P33724	CAV1_CANFA	reviewed	Caveolin-1 (Vesicular integral-membrane protein VIP21)	CAV1 CAV	Canis familiaris (Dog) (Canis lupus familiaris)	178
Q07E38	CAV1_NEONE	reviewed	Caveolin-1	CAV1	Neofelis nebulosa (Clouded leopard)	178
Q2QL90	CAV1_MICMU	reviewed	Caveolin-1	CAV1	Microcebus murinus (Lesser mouse lemur) (Gray Mouse Lemur)	179
Q108U7	CAV1_LOXAF	reviewed	Caveolin-1	CAV1	Loxodonta africana (African elephant)	178
Q07DY2	CAV1_NOMLE	reviewed	Caveolin-1	CAV1	Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys)	178
Q07DX1	CAV1_MUNRE	reviewed	Caveolin-1	CAV1	Muntiacus reevesi (Reeve's muntjac) (Chinese muntjac)	178
A1X149	CAV1_ECHTE	reviewed	Caveolin-1	CAV1	Echinops telfairi (Lesser hedgehog tenrec)	178
Q2QLB0	CAV1_HORSE	reviewed	Caveolin-1	CAV1	Equus caballus (Horse)	178
Q2IBG8	CAV1_EULMM	reviewed	Caveolin-1	CAV1	Eulemur macaco macaco (Black lemur)	179
Q09YN6	CAV1_RABIT	reviewed	Caveolin-1	CAV1	Oryctolagus cuniculus (Rabbit)	178
A0M8R6	CAV1_PAPAN	reviewed	Caveolin-1	CAV1	Papio anubis (Olive baboon)	178
Q9YGM8	CAV1_TAKRU	reviewed	Caveolin-1	cav1 cav-1	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	181
Q09YH8	CAV1_SAIBB	reviewed	Caveolin-1	CAV1	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)	178
Q6B3Y2	CAV1_SHEEP	reviewed	Caveolin-1	CAV1	Ovis aries (Sheep)	178
Q2IBA5	CAV1_CHLAE	reviewed	Caveolin-1	CAV1	Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)	178
Q07E02	CAV1_ORNAN	reviewed	Caveolin-1	CAV1	Ornithorhynchus anatinus (Duckbill platypus)	178
Q2IBC1	CAV1_RHIFE	reviewed	Caveolin-1	CAV1	Rhinolophus ferrumequinum (Greater horseshoe bat)	178
Q09YK1	CAV1_MUNMU	reviewed	Caveolin-1	CAV1	Muntiacus muntjak (Barking deer) (Indian muntjac)	178
Q6RVA9	CAV1_PIG	reviewed	Caveolin-1	CAV1	Sus scrofa (Pig)	178
Q18879	CAV2_CAEEL	reviewed	Caveolin-2	cav-2 C56A3.7	Caenorhabditis elegans	351
Q09YL4	CAV2_ATEGE	reviewed	Caveolin-2	CAV2	Ateles geoffroyi (Black-handed spider monkey) (Geoffroy's spider monkey)	162
Q07DW0	CAV2_AOTNA	reviewed	Caveolin-2	CAV2	Aotus nancymaae (Ma's night monkey)	162
Q2QLC2	CAV2_CALMO	reviewed	Caveolin-2	CAV2	Callicebus moloch (Dusky titi monkey)	162
Q2QLD3	CAV2_CARPS	reviewed	Caveolin-2	CAV2	Carollia perspicillata (Seba's short-tailed bat)	162
Q07DZ3	CAV2_COLGU	reviewed	Caveolin-2	CAV2	Colobus guereza (Mantled guereza) (Eastern black-and-white colobus monkey)	162
O46550	CAV2_CANFA	reviewed	Caveolin-2	CAV2 CAV-2	Canis familiaris (Dog) (Canis lupus familiaris)	162
