DB	ID	Symbol	Qualifier	GO ID	GO Name	Aspect	Evidence	Reference	With	Taxon	Date	Source	Splice
UniProtKB	A1X148	CAV2	-	GO:0005901	caveola	Component	ISS	PMID:15703204	UniProtKB:P51636	9371	20091109	UniProt	-
UniProtKB	A1X149	CAV1	-	GO:0005901	caveola	Component	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0035	9371	20140315	UniProt	-
UniProtKB	A1X149	CAV1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000339191	9371	20140315	Ensembl	-
UniProtKB	A1X149	CAV1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0370	9371	20140315	UniProt	-
UniProtKB	A2A5Z6	Smurf2	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0370	10090	20140315	UniProt	-
UniProtKB	A2A9Z1	Dmd	-	GO:0045121	membrane raft	Component	IDA	PMID:11259414	-	10090	20070326	MGI	-
UniProtKB	A2A9Z2	Dmd	-	GO:0045121	membrane raft	Component	IDA	PMID:11259414	-	10090	20070326	MGI	-
UniProtKB	A2AB10	FLOT1	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000001569	9606	20140315	Ensembl	-
UniProtKB	A2AB10	FLOT1	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSRNOP00000001098	9606	20140315	Ensembl	-
UniProtKB	A2AB10	FLOT1	-	GO:0016600	flotillin complex	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000001569	9606	20140315	Ensembl	-
UniProtKB	A2AB10	FLOT1	-	GO:0016600	flotillin complex	Component	IEA	GO_REF:0000019	Ensembl:ENSRNOP00000001098	9606	20140315	Ensembl	-
UniProtKB	A2AB10	FLOT1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000001569	9606	20140315	Ensembl	-
UniProtKB	A2AB12	FLOT1	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000001569	9606	20140315	Ensembl	-
UniProtKB	A2AB12	FLOT1	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSRNOP00000001098	9606	20140315	Ensembl	-
UniProtKB	A2AB12	FLOT1	-	GO:0016600	flotillin complex	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000001569	9606	20140315	Ensembl	-
UniProtKB	A2AB12	FLOT1	-	GO:0016600	flotillin complex	Component	IEA	GO_REF:0000019	Ensembl:ENSRNOP00000001098	9606	20140315	Ensembl	-
UniProtKB	A2AB12	FLOT1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000001569	9606	20140315	Ensembl	-
UniProtKB	A2AB13	FLOT1	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000001569	9606	20140315	Ensembl	-
UniProtKB	A2AB13	FLOT1	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSRNOP00000001098	9606	20140315	Ensembl	-
UniProtKB	A2AB13	FLOT1	-	GO:0016600	flotillin complex	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000001569	9606	20140315	Ensembl	-
UniProtKB	A2AB13	FLOT1	-	GO:0016600	flotillin complex	Component	IEA	GO_REF:0000019	Ensembl:ENSRNOP00000001098	9606	20140315	Ensembl	-
UniProtKB	A2AB13	FLOT1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000001569	9606	20140315	Ensembl	-
UniProtKB	A2AD37	Oprd1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSRNOP00000014084	10090	20140315	Ensembl	-
UniProtKB	A2AD72	Prkcz	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSRNOP00000021285	10090	20140315	Ensembl	-
UniProtKB	A2CGA5	Birc3	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSRNOP00000007702	10090	20140315	Ensembl	-
UniProtKB	A2I3Y3	-	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000002	InterPro:IPR028209	177089	20140315	InterPro	-
UniProtKB	A2I3Y3	-	-	GO:0071986	Ragulator complex	Component	IEA	GO_REF:0000002	InterPro:IPR028209	177089	20140315	InterPro	-
UniProtKB	A2QWY4	An11g06890	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000002	InterPro:IPR028209	425011	20140315	InterPro	-
UniProtKB	A2QWY4	An11g06890	-	GO:0071986	Ragulator complex	Component	IEA	GO_REF:0000002	InterPro:IPR028209	425011	20140315	InterPro	-
UniProtKB	A2SW51	CD14	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000056669	9823	20140315	Ensembl	-
UniProtKB	A2VCW2	Cav1	-	GO:0005901	caveola	Component	IEA	GO_REF:0000040	UniProtKB-SubCell:SL-0035	10116	20140315	UniProt	-
UniProtKB	A2VCW2	Cav1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000007799	10116	20140315	Ensembl	-
UniProtKB	A2VCW2	Cav1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000339191	10116	20140315	Ensembl	-
UniProtKB	A3FBF1	TNF alpha	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000025263	9669	20140315	Ensembl	-
UniProtKB	A3FBF1	TNF alpha	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000398698	9669	20140315	Ensembl	-
UniProtKB	A3KLL5	ATP1B1	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSRNOP00000003932	9606	20140315	Ensembl	-
UniProtKB	A3LMS5	PICST_54532	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000002	InterPro:IPR028209	322104	20140315	InterPro	-
UniProtKB	A3LMS5	PICST_54532	-	GO:0071986	Ragulator complex	Component	IEA	GO_REF:0000002	InterPro:IPR028209	322104	20140315	InterPro	-
UniProtKB	A3QQZ0	CD14	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000056669	9823	20140315	Ensembl	-
UniProtKB	A4D1B1	CD36	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000131832	9606	20140315	Ensembl	-
UniProtKB	A4D7S5	CAV2	-	GO:0005901	caveola	Component	IEA	GO_REF:0000040	UniProtKB-SubCell:SL-0035	9315	20140315	UniProt	-
UniProtKB	A4D7S6	CAV1	-	GO:0005901	caveola	Component	IEA	GO_REF:0000040	UniProtKB-SubCell:SL-0035	9315	20140315	UniProt	-
UniProtKB	A4D7S6	CAV1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000007799	9315	20140315	Ensembl	-
UniProtKB	A4D7S6	CAV1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000339191	9315	20140315	Ensembl	-
UniProtKB	A4FV66	SGCA	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000099451	9913	20140315	Ensembl	-
UniProtKB	A4II34	cav3.2	-	GO:0005901	caveola	Component	IEA	GO_REF:0000040	UniProtKB-SubCell:SL-0035	8364	20140315	UniProt	-
UniProtKB	A4QNA2	cav3.1	-	GO:0005901	caveola	Component	IEA	GO_REF:0000040	UniProtKB-SubCell:SL-0035	8364	20140315	UniProt	-
UniProtKB	A4ZPI3	-	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000088837	9606	20140315	Ensembl	-
UniProtKB	A4ZPI5	-	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000088837	9606	20140315	Ensembl	-
UniProtKB	A4ZPI7	-	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000088837	9606	20140315	Ensembl	-
UniProtKB	A4ZPI8	-	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000088837	9606	20140315	Ensembl	-
UniProtKB	A5A4K9	GHSR	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000241256	9986	20140315	Ensembl	-
UniProtKB	A5A4L0	GHSR	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000241256	9483	20140315	Ensembl	-
UniProtKB	A5A4L1	GHSR	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000241256	9669	20140315	Ensembl	-
UniProtKB	A5D7A0	EFHD2	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0370	9913	20140315	UniProt	-
UniProtKB	A5DPM0	PGUG_05221	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000002	InterPro:IPR028209	294746	20140315	InterPro	-
UniProtKB	A5DPM0	PGUG_05221	-	GO:0071986	Ragulator complex	Component	IEA	GO_REF:0000002	InterPro:IPR028209	294746	20140315	InterPro	-
UniProtKB	A5DV57	LELG_01243	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000002	InterPro:IPR028209	379508	20140315	InterPro	-
UniProtKB	A5DV57	LELG_01243	-	GO:0071986	Ragulator complex	Component	IEA	GO_REF:0000002	InterPro:IPR028209	379508	20140315	InterPro	-
UniProtKB	A5HIN3	-	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000361107	9031	20140315	Ensembl	-
UniProtKB	A5HKU8	GHSR	-	GO:0045121	membrane raft	Component	ISS	GO_REF:0000024	UniProtKB:Q92847	9615	20071024	UniProt	-
UniProtKB	A5PJA6	STOML2	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000348886	9913	20140315	Ensembl	-
UniProtKB	A5YBV0	TNF-alpha	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000025263	9940	20140315	Ensembl	-
UniProtKB	A5YBV0	TNF-alpha	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000398698	9940	20140315	Ensembl	-
UniProtKB	A6H544	eNOS	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000297494	9483	20140315	Ensembl	-
UniProtKB	A6H659	Pag1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000220597	10090	20140315	Ensembl	-
UniProtKB	A6MAP0	-	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000024044	13616	20140315	Ensembl	-
UniProtKB	A6MKA9	-	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000029311	9483	20140315	Ensembl	-
UniProtKB	A6MKA9	-	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000029311	9483	20140315	Ensembl	-
UniProtKB	A6NKF2	ARID3C	-	GO:0045121	membrane raft	Component	IDA	PMID:21955986	-	9606	20120319	MGI	-
UniProtKB	A6P3B9	FER1L3	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000045036	9796	20140315	Ensembl	-
UniProtKB	A6P3C6	KCNMA1	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000385806	9796	20140315	Ensembl	-
UniProtKB	A6PWV5	Arid3c	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000368189	10090	20140315	Ensembl	-
UniProtKB	A6QLR4	FLOT2	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000072136	9913	20140315	Ensembl	-
UniProtKB	A6QLR4	FLOT2	-	GO:0005901	caveola	Component	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0035	9913	20140315	UniProt	-
UniProtKB	A6QLR4	FLOT2	-	GO:0016600	flotillin complex	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000072136	9913	20140315	Ensembl	-
UniProtKB	A6QLR4	FLOT2	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000072136	9913	20140315	Ensembl	-
UniProtKB	A6QNL0	CD14	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000056669	9913	20140315	Ensembl	-
UniProtKB	A6QP71	CDH15	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000034443	9913	20140315	Ensembl	-
UniProtKB	A6RA59	HCAG_05847	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000002	InterPro:IPR028209	339724	20140315	InterPro	-
UniProtKB	A6RA59	HCAG_05847	-	GO:0071986	Ragulator complex	Component	IEA	GO_REF:0000002	InterPro:IPR028209	339724	20140315	InterPro	-
UniProtKB	A6YQS4	ABCA1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000363868	13616	20140315	Ensembl	-
UniProtKB	A6ZL53	AIM3	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0370	307796	20140315	UniProt	-
UniProtKB	A6ZZX2	MEH1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000002	InterPro:IPR028209	307796	20140315	InterPro	-
UniProtKB	A6ZZX2	MEH1	-	GO:0071986	Ragulator complex	Component	IEA	GO_REF:0000002	InterPro:IPR028209	307796	20140315	InterPro	-
UniProtKB	A7E2R9	Nfam1	-	GO:0045121	membrane raft	Component	IDA	PMID:15143214	-	10090	20050113	MGI	-
UniProtKB	A7EA02	SS1G_02132	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000002	InterPro:IPR028209	665079	20140315	InterPro	-
UniProtKB	A7EA02	SS1G_02132	-	GO:0071986	Ragulator complex	Component	IEA	GO_REF:0000002	InterPro:IPR028209	665079	20140315	InterPro	-
UniProtKB	A7LCT6	GHSR	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000241256	8839	20140315	Ensembl	-
UniProtKB	A7MAZ2	STX12	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000363054	9913	20140315	Ensembl	-
UniProtKB	A7RFI0	v1g237860	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000002	InterPro:IPR028209	45351	20140315	InterPro	-
UniProtKB	A7RFI0	v1g237860	-	GO:0071986	Ragulator complex	Component	IEA	GO_REF:0000002	InterPro:IPR028209	45351	20140315	InterPro	-
UniProtKB	A7RT29	v1g226489	-	GO:0071986	Ragulator complex	Component	ISS	GO_REF:0000024	UniProtKB:O43504	45351	20120926	UniProt	-
UniProtKB	A7S3K1	v1g103179	-	GO:0005901	caveola	Component	IEA	GO_REF:0000040	UniProtKB-SubCell:SL-0035	45351	20140315	UniProt	-
UniProtKB	A7S6M8	v1g232793	-	GO:0071986	Ragulator complex	Component	ISS	GO_REF:0000024	UniProtKB:Q0VGL1	45351	20120926	UniProt	-
UniProtKB	A7SSH5	v1g129920	-	GO:0005901	caveola	Component	IEA	GO_REF:0000040	UniProtKB-SubCell:SL-0035	45351	20140315	UniProt	-
UniProtKB	A7TRW3	AIM3	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0370	436907	20140315	UniProt	-
UniProtKB	A7TTU6	Kpol_160p2	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000002	InterPro:IPR028209	436907	20140315	InterPro	-
UniProtKB	A7TTU6	Kpol_160p2	-	GO:0071986	Ragulator complex	Component	IEA	GO_REF:0000002	InterPro:IPR028209	436907	20140315	InterPro	-
UniProtKB	A7UGA9	F2R	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000321326	9823	20140315	Ensembl	-
UniProtKB	A7YEY2	LRP6	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000261349	9258	20140315	Ensembl	-
UniProtKB	A7YEY8	LRP6	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000261349	9258	20140315	Ensembl	-
UniProtKB	A7YY44	F2R	-	GO:0005901	caveola	Component	ISS	GO_REF:0000024	UniProtKB:P25116	9913	20120320	UniProt	-
UniProtKB	A8D737	-	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000268613	9823	20140315	Ensembl	-
UniProtKB	A8E646	CARD11	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000380150	9913	20140315	Ensembl	-
UniProtKB	A8MUT6	DLG1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000064280	9606	20140315	Ensembl	-
UniProtKB	A8WFL6	DMD	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000109633	9913	20140315	Ensembl	-
UniProtKB	A8WG94	zgc:172270	-	GO:0005901	caveola	Component	IEA	GO_REF:0000040	UniProtKB-SubCell:SL-0035	7955	20140315	UniProt	-
UniProtKB	A8XL72	cav-1	-	GO:0005901	caveola	Component	IEA	GO_REF:0000040	UniProtKB-SubCell:SL-0035	6238	20140315	UniProt	-
UniProtKB	A9CMA5	Daf1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000316333	10116	20140315	Ensembl	-
UniProtKB	A9JRZ0	smurf2	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0370	7955	20140315	UniProt	-
UniProtKB	A9LMQ0	TNF	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000025263	9615	20140315	Ensembl	-
UniProtKB	A9LMQ0	TNF	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000398698	9615	20140315	Ensembl	-
UniProtKB	A9QMC2	-	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000241256	9913	20140315	Ensembl	-
UniProtKB	A9QMC3	-	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000241256	9913	20140315	Ensembl	-
UniProtKB	A9UHP2	CNL3	-	GO:0005901	caveola	Component	ISS	GO_REF:0000024	UniProtKB:Q13286	9823	20090514	UniProt	-
UniProtKB	A9UHP2	CNL3	-	GO:0045121	membrane raft	Component	ISS	GO_REF:0000024	UniProtKB:Q13286	9823	20090514	UniProt	-
UniProtKB	A9UL91	lamtor5	-	GO:0071986	Ragulator complex	Component	ISS	GO_REF:0000024	UniProtKB:O43504	8364	20120926	UniProt	-
UniProtKB	A9UMU8	lamtor4	-	GO:0071986	Ragulator complex	Component	ISS	GO_REF:0000024	UniProtKB:Q0VGL1	8364	20120926	UniProt	-
UniProtKB	A9XIS8	TNFRSF1A	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000032491	9940	20140315	Ensembl	-
UniProtKB	A9XTE5	-	-	GO:0005901	caveola	Component	IEA	GO_REF:0000040	UniProtKB-SubCell:SL-0035	9606	20140315	UniProt	-
UniProtKB	A9XXE3	LRRK2	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000052584	9823	20140315	Ensembl	-
UniProtKB	A9YTJ3	-	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000077586	10116	20140315	Ensembl	-
UniProtKB	B0FYL5	PRNP	colocalizes_with	GO:0045121	membrane raft	Component	ISS	GO_REF:0000024	UniProtKB:P35052	494514	20120405	UniProt	-
UniProtKB	B0JYK2	NPC1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000025279	9913	20140315	Ensembl	-
UniProtKB	B0JYR0	FURIN	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000268171	9913	20140315	Ensembl	-
UniProtKB	B0LAB6	Atp1b1	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSRNOP00000003932	10090	20140315	Ensembl	-
UniProtKB	B0QYG7	PACSIN2	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000130098	9606	20140315	Ensembl	-
UniProtKB	B0QYG9	PACSIN2	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000130098	9606	20140315	Ensembl	-
UniProtKB	B0XCW5	CpipJ_CPIJ017417	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000002	InterPro:IPR028209	7176	20140315	InterPro	-
UniProtKB	B0XCW5	CpipJ_CPIJ017417	-	GO:0071986	Ragulator complex	Component	IEA	GO_REF:0000002	InterPro:IPR028209	7176	20140315	InterPro	-
UniProtKB	B0Y7V2	AFUB_075120	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000002	InterPro:IPR028209	451804	20140315	InterPro	-
UniProtKB	B0Y7V2	AFUB_075120	-	GO:0071986	Ragulator complex	Component	IEA	GO_REF:0000002	InterPro:IPR028209	451804	20140315	InterPro	-
UniProtKB	B0YJA4	THY1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000110489	9606	20140315	Ensembl	-
UniProtKB	B1AB92	-	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000025263	9796	20140315	Ensembl	-
UniProtKB	B1AB92	-	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000398698	9796	20140315	Ensembl	-
UniProtKB	B1ACW5	Oprd1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSRNOP00000014084	10090	20140315	Ensembl	-
UniProtKB	B1AHA8	HMOX1	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSRNOP00000019192	9606	20140315	Ensembl	-
UniProtKB	B1ALD5	SLC9A1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSRNOP00000011049	9606	20140315	Ensembl	-
UniProtKB	B1AMX7	TRAF2	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSRNOP00000008253	9606	20140315	Ensembl	-
UniProtKB	B1AMX8	TRAF2	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSRNOP00000008253	9606	20140315	Ensembl	-
